CUSTOMER_NUMBER,LATEST_CREDITCARD_COUNT,LATEST_DEBITCARD_COUNT,HAS_CREDITCARD_OBS,HAS_DEBITCARD_OBS,CARD_ACTIVE_MONTHS,MAX_HIST_CREDITCARD,MAX_HIST_DEBITCARD,CREDITCARD_GROWTH,DEBITCARD_GROWTH
0,0,1,0,1,1,0,1,0,0
3,0,1,0,1,6,0,1,0,0
8,1,0,1,0,5,1,0,0,0
13,0,1,0,1,1,0,1,0,0
14,1,0,1,0,3,1,0,0,0
32,0,1,0,1,3,0,1,0,0
37,0,1,0,1,3,0,1,0,0
44,0,1,0,1,6,0,1,0,0
68,0,1,0,1,8,0,1,0,0
81,1,0,1,0,1,1,0,0,0
88,0,1,0,1,3,0,1,0,0
106,0,1,0,1,3,0,1,0,0
107,0,1,0,1,2,0,1,0,0
118,0,1,0,1,2,0,1,0,0
121,0,1,0,1,5,0,1,0,0
126,1,0,1,0,3,1,0,0,0
131,0,1,0,1,2,0,1,0,0
135,0,1,0,1,3,0,1,0,0
141,0,1,0,1,5,0,1,0,0
143,0,1,0,1,1,0,1,0,0
145,0,1,0,1,2,0,1,0,0
147,0,1,0,1,7,0,1,0,0
158,1,0,1,0,3,1,0,0,0
184,0,1,0,1,1,0,1,0,0
214,0,1,0,1,3,0,1,0,0
223,0,1,0,1,6,0,1,0,0
227,0,1,0,1,1,0,1,0,0
228,0,1,0,1,6,0,1,0,0
248,1,0,1,0,6,1,0,0,0
262,0,1,0,1,9,0,1,0,0
264,0,1,0,1,5,0,1,0,0
294,0,1,0,1,5,0,1,0,0
295,1,0,1,0,6,1,0,0,0
314,0,1,0,1,7,0,1,0,0
317,1,0,1,0,5,1,0,0,0
342,0,1,0,1,9,0,1,0,0
368,0,1,0,1,6,0,1,0,0
369,1,0,1,0,4,1,0,0,0
373,1,0,1,0,1,1,0,0,0
393,1,0,1,0,9,1,0,0,0
404,0,1,0,1,6,0,1,0,0
425,0,1,0,1,3,0,1,0,0
435,1,0,1,0,6,1,0,0,0
465,1,0,1,0,3,1,0,0,0
471,1,1,1,1,4,1,1,0,0
479,0,1,0,1,1,0,1,0,0
482,0,1,0,1,5,0,1,0,0
484,0,4,0,1,4,0,4,0,3
493,0,1,0,1,6,0,1,0,0
498,1,0,1,0,9,1,0,0,0
503,1,0,1,0,4,1,0,0,0
504,0,1,0,1,8,0,1,0,0
508,0,1,0,1,4,0,1,0,0
528,0,1,0,1,7,0,1,0,0
536,0,1,0,1,1,0,1,0,0
541,0,1,0,1,1,0,1,0,0
548,1,0,1,0,6,1,0,0,0
581,0,1,0,1,4,0,1,0,0
587,1,0,1,0,3,1,0,0,0
603,0,1,0,1,3,0,1,0,0
606,0,1,0,1,6,0,1,0,0
610,0,1,0,1,3,0,1,0,0
615,0,1,0,1,3,0,1,0,0
617,0,1,0,1,5,0,1,0,0
628,0,1,0,1,6,0,1,0,0
635,0,1,0,1,1,0,1,0,0
639,0,1,0,1,3,0,1,0,0
640,0,1,0,1,5,0,1,0,0
643,0,1,0,1,1,0,1,0,0
650,0,1,0,1,6,0,1,0,0
666,0,1,0,1,8,0,1,0,0
684,0,1,0,1,6,0,1,0,0
699,0,1,0,1,7,0,1,0,0
719,0,1,0,1,5,0,1,0,0
729,0,1,0,1,5,0,1,0,0
730,0,1,0,1,1,0,1,0,0
738,1,0,1,0,6,1,0,0,0
749,1,0,1,0,4,1,0,0,0
757,0,1,0,1,9,0,1,0,0
761,0,1,0,1,5,0,1,0,0
766,0,1,0,1,1,0,1,0,0
772,1,0,1,0,6,1,0,0,0
774,0,1,0,1,9,0,1,0,0
778,1,0,1,0,7,1,0,0,0
779,0,1,0,1,6,0,1,0,0
783,0,1,0,1,6,0,1,0,0
793,0,1,0,1,8,0,1,0,0
806,1,0,1,0,1,1,0,0,0
817,0,1,0,1,4,0,1,0,0
848,0,1,0,1,7,0,1,0,0
851,1,0,1,0,6,1,0,0,0
860,0,1,0,1,2,0,1,0,0
866,0,1,0,1,6,0,1,0,0
870,0,1,0,1,7,0,1,0,0
921,0,1,0,1,6,0,1,0,0
939,0,1,0,1,4,0,1,0,0
942,0,1,0,1,2,0,1,0,0
947,1,0,1,0,3,1,0,0,0
965,0,1,0,1,2,0,1,0,0
967,0,1,0,1,6,0,1,0,0
993,1,1,1,1,6,1,1,1,0
1026,0,1,0,1,3,0,1,0,0
1027,0,1,0,1,6,0,1,0,0
1033,0,2,0,1,8,0,2,0,1
1040,0,1,0,1,1,0,1,0,0
1042,0,1,0,1,5,0,1,0,0
1050,0,1,0,1,2,0,1,0,0
1055,0,1,0,1,3,0,1,0,0
1058,0,1,0,1,6,0,1,0,0
1060,0,1,0,1,1,0,1,0,0
1076,0,1,0,1,6,0,1,0,0
1086,1,0,1,0,4,1,0,0,0
1101,0,1,0,1,7,0,1,0,0
1102,0,1,0,1,1,0,1,0,0
1106,0,1,0,1,1,0,1,0,0
1113,0,1,0,1,2,0,1,0,0
1121,0,1,0,1,3,0,1,0,0
1123,0,1,0,1,5,0,1,0,0
1127,0,1,0,1,2,0,1,0,0
1129,0,1,0,1,5,0,1,0,0
1131,1,0,1,0,7,1,0,0,0
1134,0,1,0,1,1,0,1,0,0
1149,0,1,0,1,5,0,1,0,0
1168,0,1,0,1,3,0,1,0,0
1169,0,1,0,1,4,0,1,0,0
1182,0,1,0,1,7,0,1,0,0
1183,1,0,1,0,4,1,0,0,0
1186,0,1,0,1,5,0,1,0,0
1187,0,1,0,1,3,0,1,0,0
1189,0,1,0,1,6,0,1,0,0
1193,0,1,0,1,1,0,1,0,0
1201,0,2,0,1,3,0,2,0,0
1212,0,1,0,1,6,0,1,0,0
1215,0,1,0,1,8,0,1,0,0
1217,0,1,0,1,7,0,1,0,0
1222,0,1,0,1,4,0,1,0,0
1234,0,1,0,1,2,0,1,0,0
1265,1,0,1,0,1,1,0,0,0
1268,0,1,0,1,5,0,1,0,0
1274,1,0,1,0,6,1,0,0,0
1285,0,1,0,1,2,0,1,0,0
1292,0,1,0,1,6,0,1,0,0
1299,0,1,0,1,7,0,1,0,0
1305,1,0,1,0,1,1,0,0,0
1328,0,1,0,1,1,0,1,0,0
1340,0,1,0,1,6,0,1,0,0
1356,0,2,0,1,6,0,2,0,1
1357,0,1,0,1,2,0,1,0,0
1358,0,1,0,1,3,0,1,0,0
1366,0,1,0,1,3,0,1,0,0
1372,0,1,0,1,4,0,1,0,0
1381,1,0,1,0,8,1,0,0,0
1393,0,1,0,1,3,0,1,0,0
1401,1,0,1,0,4,1,0,0,0
1411,0,1,0,1,3,0,1,0,0
1425,0,1,0,1,2,0,1,0,0
1449,0,1,0,1,1,0,1,0,0
1456,1,0,1,0,5,1,0,0,0
1459,0,2,0,1,4,0,2,0,0
1470,0,1,0,1,2,0,1,0,0
1480,0,1,0,1,1,0,1,0,0
1523,0,1,0,1,3,0,1,0,0
1544,1,0,1,0,1,1,0,0,0
1545,0,1,0,1,6,0,1,0,0
1546,1,0,1,0,5,1,0,0,0
1555,1,0,1,0,9,1,0,0,0
1576,0,1,0,1,8,0,1,0,0
1579,0,1,0,1,3,0,1,0,0
1585,0,1,0,1,5,0,1,0,0
1587,0,1,0,1,8,0,1,0,0
1598,0,1,0,1,6,0,1,0,0
1640,0,1,0,1,5,0,1,0,0
1649,2,0,1,0,1,2,0,0,0
1651,0,1,0,1,4,0,1,0,0
1668,1,0,1,0,3,1,0,0,0
1669,1,0,1,0,4,1,0,0,0
1689,0,1,0,1,3,0,1,0,0
1693,0,1,0,1,2,0,1,0,0
1712,0,1,0,1,5,0,1,0,0
1721,2,0,1,0,1,2,0,0,0
1724,0,1,0,1,1,0,1,0,0
1736,0,1,0,1,2,0,1,0,0
1755,1,0,1,0,9,1,0,0,0
1766,1,1,1,1,9,1,1,1,0
1771,0,1,0,1,8,0,1,0,0
1773,0,1,0,1,3,0,1,0,0
1774,1,0,1,0,4,1,0,0,0
1782,0,1,0,1,4,0,1,0,0
1794,1,0,1,0,1,1,0,0,0
1799,0,1,0,1,6,0,1,0,0
1817,0,1,0,1,4,0,1,0,0
1820,1,0,1,0,6,1,0,0,0
1825,0,2,0,1,5,0,2,0,1
1832,0,2,0,1,6,0,2,0,1
1834,2,0,1,0,2,2,0,0,0
1835,0,1,0,1,5,0,1,0,0
1850,0,1,0,1,1,0,1,0,0
1858,0,1,0,1,1,0,1,0,0
